ID,GPA,Gender,Ethnicity,Major,Skill1,Skill2,Skill3,Project choice,Group Number
99,3.4222658367,F,-,CS,-,y,y,nanotech,19
3,3.2148217272,M,-,EE,-,y,-,automotive,20
15,3.080157248,F,-,EE,-,y,y,automotive,20
35,2.6528990285,F,-,EE,y,y,y,automotive,20
56,2.4034790358,M,N,Mech E,y,-,y,automotive,20
98,3.0343554975,F,-,Mech E,y,y,y,automotive,20
52,3.2756432963,F,B,EE,y,y,y,statistics,21
61,4.220160605,M,-,Mech E,-,-,y,statistics,21
68,3.5995299693,M,B,EE,y,-,y,statistics,21
91,2.5723254477,F,-,CS,y,y,y,statistics,21
95,3.2579174234,F,-,Civ E,y,y,y,statistics,21
